date,hand sanitizer,bleach,toilet paper
2020-01-14,0,7,1
2020-01-15,0,6,1
2020-01-16,0,7,2
2020-01-17,0,7,2
2020-01-18,0,8,2
2020-01-19,0,7,2
2020-01-20,0,7,2
2020-01-21,0,7,2
2020-01-22,0,7,1
2020-01-23,0,7,1
2020-01-24,0,7,2
2020-01-25,0,8,2
2020-01-26,0,8,2
2020-01-27,0,7,1
2020-01-28,0,7,1
2020-01-29,0,7,2
2020-01-30,0,7,2
2020-01-31,0,7,2
2020-02-01,0,8,2
2020-02-02,0,8,2
2020-02-03,0,7,2
2020-02-04,0,7,2
2020-02-05,0,7,2
2020-02-06,0,7,2
2020-02-07,0,7,2
2020-02-08,0,8,2
2020-02-09,0,8,2
2020-02-10,0,7,2
2020-02-11,0,7,2
2020-02-12,0,7,2
2020-02-13,0,8,2
2020-02-14,0,7,2
2020-02-15,0,8,2
2020-02-16,0,8,2
2020-02-17,0,7,2
2020-02-18,0,7,2
2020-02-19,0,7,2
2020-02-20,0,7,2
2020-02-21,0,7,2
2020-02-22,0,8,2
2020-02-23,0,8,2
2020-02-24,0,7,2
2020-02-25,0,7,2
2020-02-26,0,8,2
2020-02-27,0,7,2
2020-02-28,0,8,2
2020-02-29,0,8,3
2020-03-01,0,9,3
2020-03-02,0,8,3
2020-03-03,0,8,8
2020-03-04,0,8,19
2020-03-05,0,8,17
2020-03-06,0,9,13
2020-03-07,0,10,20
2020-03-08,0,10,19
2020-03-09,0,9,20
2020-03-10,0,9,27
2020-03-11,0,10,35
2020-03-12,0,12,61
2020-03-13,0,13,93
2020-03-14,0,15,100
2020-03-15,0,16,78
2020-03-16,0,14,60
2020-03-17,0,14,55
2020-03-18,0,19,50
2020-03-19,0,18,45
2020-03-20,0,16,43
2020-03-21,0,19,44
2020-03-22,0,19,40
2020-03-23,0,16,31
2020-03-24,0,16,28
2020-03-25,0,16,23
2020-03-26,0,17,21
2020-03-27,0,17,20
2020-03-28,0,20,21
2020-03-29,0,20,20
2020-03-30,0,17,17
2020-03-31,0,17,19
2020-04-01,0,17,20
2020-04-02,0,17,19
2020-04-03,0,17,19
2020-04-04,0,20,20
2020-04-05,0,19,19
2020-04-06,0,16,15
2020-04-07,0,16,14
2020-04-08,0,16,15
2020-04-09,0,16,14
2020-04-10,0,16,13
2020-04-11,0,18,12
