date,ammunition,gun stores,ar-15
2020-01-16,22,8,15
2020-01-17,20,12,11
2020-01-18,22,17,11
2020-01-19,23,10,17
2020-01-20,24,10,13
2020-01-21,23,10,11
2020-01-22,25,12,13
2020-01-23,20,10,15
2020-01-24,23,12,12
2020-01-25,20,14,12
2020-01-26,15,10,13
2020-01-27,25,9,11
2020-01-28,21,9,10
2020-01-29,20,10,10
2020-01-30,18,11,13
2020-01-31,19,9,12
2020-02-01,22,19,12
2020-02-02,21,12,14
2020-02-03,19,8,11
2020-02-04,22,8,8
2020-02-05,23,14,10
2020-02-06,20,12,11
2020-02-07,20,13,10
2020-02-08,22,20,12
2020-02-09,20,13,16
2020-02-10,21,12,11
2020-02-11,20,10,13
2020-02-12,24,9,12
2020-02-13,19,10,15
2020-02-14,21,14,13
2020-02-15,23,17,13
2020-02-16,21,14,15
2020-02-17,19,13,15
2020-02-18,20,11,12
2020-02-19,18,9,14
2020-02-20,19,8,11
2020-02-21,25,12,14
2020-02-22,27,17,12
2020-02-23,23,13,15
2020-02-24,22,9,14
2020-02-25,27,11,17
2020-02-26,18,11,15
2020-02-27,22,10,11
2020-02-28,25,14,14
2020-02-29,24,21,15
2020-03-01,25,18,15
2020-03-02,21,11,14
2020-03-03,23,15,15
2020-03-04,21,13,12
2020-03-05,19,11,11
2020-03-06,24,10,15
2020-03-07,26,20,15
2020-03-08,20,18,14
2020-03-09,24,13,10
2020-03-10,21,9,13
2020-03-11,24,11,15
2020-03-12,29,15,12
2020-03-13,37,31,20
2020-03-14,43,43,25
2020-03-15,49,49,23
2020-03-16,69,74,20
2020-03-17,74,85,23
2020-03-18,73,92,26
2020-03-19,76,100,27
2020-03-20,73,100,29
2020-03-21,86,96,33
2020-03-22,78,66,38
2020-03-23,65,80,26
2020-03-24,50,67,29
2020-03-25,44,61,26
2020-03-26,43,51,21
2020-03-27,41,42,24
2020-03-28,45,46,27
2020-03-29,44,39,23
2020-03-30,33,37,21
2020-03-31,37,50,20
2020-04-01,37,44,22
2020-04-02,37,49,22
2020-04-03,32,47,21
2020-04-04,41,51,31
2020-04-05,28,33,27
2020-04-06,25,28,21
2020-04-07,33,26,19
2020-04-08,26,23,18
2020-04-09,26,27,20
2020-04-10,28,29,25
2020-04-11,29,39,25
2020-04-12,34,24,29
2020-04-13,29,26,22
