date,netflix,weed delivery,beer delivery
2020-01-16,39,0,0
2020-01-17,44,0,0
2020-01-18,53,0,0
2020-01-19,53,0,0
2020-01-20,44,0,0
2020-01-21,41,0,0
2020-01-22,39,0,0
2020-01-23,40,0,0
2020-01-24,42,0,0
2020-01-25,51,0,0
2020-01-26,52,0,0
2020-01-27,38,0,0
2020-01-28,36,0,0
2020-01-29,35,0,0
2020-01-30,37,0,0
2020-01-31,40,0,0
2020-02-01,50,0,0
2020-02-02,52,0,0
2020-02-03,36,0,0
2020-02-04,37,0,0
2020-02-05,35,0,0
2020-02-06,35,0,0
2020-02-07,40,0,0
2020-02-08,49,0,0
2020-02-09,52,0,0
2020-02-10,40,0,0
2020-02-11,36,0,0
2020-02-12,36,0,0
2020-02-13,35,0,0
2020-02-14,39,0,0
2020-02-15,49,0,0
2020-02-16,51,0,0
2020-02-17,39,0,0
2020-02-18,34,0,0
2020-02-19,34,0,0
2020-02-20,34,0,0
2020-02-21,38,0,0
2020-02-22,46,0,0
2020-02-23,49,0,0
2020-02-24,38,0,0
2020-02-25,37,0,0
2020-02-26,36,0,0
2020-02-27,36,0,0
2020-02-28,40,0,0
2020-02-29,48,0,0
2020-03-01,52,0,0
2020-03-02,37,0,0
2020-03-03,34,0,0
2020-03-04,33,0,0
2020-03-05,34,0,0
2020-03-06,38,0,0
2020-03-07,47,0,0
2020-03-08,48,0,0
2020-03-09,36,0,0
2020-03-10,34,0,0
2020-03-11,34,0,0
2020-03-12,36,0,0
2020-03-13,46,0,0
2020-03-14,65,0,0
2020-03-15,68,0,0
2020-03-16,50,0,0
2020-03-17,57,0,0
2020-03-18,63,0,0
2020-03-19,68,0,0
2020-03-20,76,0,0
2020-03-21,95,0,0
2020-03-22,98,0,0
2020-03-23,76,0,0
2020-03-24,75,0,0
2020-03-25,74,0,0
2020-03-26,74,0,0
2020-03-27,79,0,0
2020-03-28,92,0,0
2020-03-29,100,0,0
2020-03-30,72,0,0
2020-03-31,73,0,0
2020-04-01,72,0,0
2020-04-02,73,0,0
2020-04-03,90,0,0
2020-04-04,99,0,0
2020-04-05,94,0,0
2020-04-06,69,0,0
2020-04-07,70,0,0
2020-04-08,67,0,0
2020-04-09,72,0,0
2020-04-10,83,0,0
2020-04-11,88,0,0
2020-04-12,89,0,0
