date,hand sanitizer,bleach,toilet paper
2020-01-16,1,6,2
2020-01-17,1,7,2
2020-01-18,0,8,2
2020-01-19,1,8,2
2020-01-20,0,7,2
2020-01-21,1,7,2
2020-01-22,1,7,2
2020-01-23,1,7,2
2020-01-24,1,7,2
2020-01-25,1,8,2
2020-01-26,2,8,2
2020-01-27,2,7,2
2020-01-28,3,7,1
2020-01-29,4,7,2
2020-01-30,4,8,2
2020-01-31,4,7,1
2020-02-01,3,8,2
2020-02-02,3,8,2
2020-02-03,3,7,2
2020-02-04,3,6,1
2020-02-05,3,7,2
2020-02-06,4,7,2
2020-02-07,4,7,2
2020-02-08,3,8,2
2020-02-09,3,8,2
2020-02-10,3,7,2
2020-02-11,3,7,2
2020-02-12,4,7,2
2020-02-13,3,7,2
2020-02-14,3,7,2
2020-02-15,2,8,2
2020-02-16,2,8,2
2020-02-17,2,7,2
2020-02-18,2,8,2
2020-02-19,2,7,2
2020-02-20,2,7,2
2020-02-21,2,7,2
2020-02-22,2,8,2
2020-02-23,2,9,2
2020-02-24,3,8,2
2020-02-25,3,8,2
2020-02-26,4,8,2
2020-02-27,6,7,2
2020-02-28,10,8,2
2020-02-29,11,9,2
2020-03-01,12,9,3
2020-03-02,26,8,3
2020-03-03,38,8,8
2020-03-04,45,8,19
2020-03-05,51,9,17
2020-03-06,49,10,14
2020-03-07,48,10,21
2020-03-08,43,10,19
2020-03-09,51,9,20
2020-03-10,55,9,27
2020-03-11,62,9,35
2020-03-12,89,12,61
2020-03-13,91,13,97
2020-03-14,86,15,100
2020-03-15,81,15,79
2020-03-16,84,14,60
2020-03-17,71,15,53
2020-03-18,65,19,49
2020-03-19,63,18,45
2020-03-20,57,16,43
2020-03-21,60,21,45
2020-03-22,50,19,39
2020-03-23,46,17,32
2020-03-24,39,16,27
2020-03-25,34,16,23
2020-03-26,32,18,21
2020-03-27,31,17,21
2020-03-28,31,20,21
2020-03-29,31,19,20
2020-03-30,29,17,18
2020-03-31,30,17,18
2020-04-01,30,17,21
2020-04-02,29,17,19
2020-04-03,29,17,18
2020-04-04,30,19,19
2020-04-05,27,19,20
2020-04-06,24,17,15
2020-04-07,23,16,15
2020-04-08,22,17,14
2020-04-09,22,16,14
2020-04-10,20,16,13
2020-04-11,19,18,12
2020-04-12,14,16,10
2020-04-13,16,14,10
