date,netflix,weed,beer,isPartial
2020-01-16,40,5,7,False
2020-01-17,44,5,7,False
2020-01-18,54,5,9,False
2020-01-19,57,5,8,False
2020-01-20,45,5,6,False
2020-01-21,41,5,6,False
2020-01-22,39,5,6,False
2020-01-23,40,5,6,False
2020-01-24,43,5,7,False
2020-01-25,54,6,9,False
2020-01-26,52,5,8,False
2020-01-27,38,4,6,False
2020-01-28,37,5,6,False
2020-01-29,36,5,7,False
2020-01-30,37,4,7,False
2020-01-31,41,5,8,False
2020-02-01,54,5,9,False
2020-02-02,54,5,10,False
2020-02-03,38,4,7,False
2020-02-04,37,5,6,False
2020-02-05,36,5,6,False
2020-02-06,36,5,7,False
2020-02-07,42,5,8,False
2020-02-08,50,5,9,False
2020-02-09,54,5,8,False
2020-02-10,41,5,6,False
2020-02-11,36,5,6,False
2020-02-12,37,5,6,False
2020-02-13,35,5,7,False
2020-02-14,39,5,8,False
2020-02-15,49,5,10,False
2020-02-16,54,6,10,False
2020-02-17,39,5,7,False
2020-02-18,35,5,6,False
2020-02-19,36,5,7,False
2020-02-20,36,5,7,False
2020-02-21,40,6,8,False
2020-02-22,48,6,9,False
2020-02-23,49,5,8,False
2020-02-24,39,5,6,False
2020-02-25,38,5,6,False
2020-02-26,37,5,7,False
2020-02-27,37,5,7,False
2020-02-28,40,5,8,False
2020-02-29,49,5,10,False
2020-03-01,52,5,9,False
2020-03-02,38,5,7,False
2020-03-03,34,5,7,False
2020-03-04,34,5,7,False
2020-03-05,35,5,8,False
2020-03-06,39,5,9,False
2020-03-07,47,6,10,False
2020-03-08,50,6,10,False
2020-03-09,37,5,9,False
2020-03-10,36,5,8,False
2020-03-11,34,5,7,False
2020-03-12,35,5,7,False
2020-03-13,49,5,9,False
2020-03-14,66,5,10,False
2020-03-15,70,6,9,False
2020-03-16,54,5,7,False
2020-03-17,60,5,7,False
2020-03-18,64,5,6,False
2020-03-19,71,5,6,False
2020-03-20,77,5,8,False
2020-03-21,100,6,9,False
2020-03-22,99,6,8,False
2020-03-23,77,5,6,False
2020-03-24,76,5,6,False
2020-03-25,78,5,7,False
2020-03-26,77,6,7,False
2020-03-27,78,6,8,False
2020-03-28,96,6,9,False
2020-03-29,99,6,9,False
2020-03-30,74,5,7,False
2020-03-31,73,5,6,False
2020-04-01,76,6,7,False
2020-04-02,75,6,7,False
2020-04-03,88,6,9,False
2020-04-04,100,7,10,False
2020-04-05,96,7,9,False
2020-04-06,73,6,7,False
2020-04-07,65,6,8,False
2020-04-08,69,6,8,False
2020-04-09,71,7,8,False
2020-04-10,82,7,9,False
2020-04-11,90,8,10,False
2020-04-12,90,7,9,False
2020-04-13,74,6,7,False
